"id_training_data","id_berita","id_topik","berita","trainig_class"
"57","57","4","Mengenal Data61, Jaringan Riset Digital Terkemuka di Australia","None"
"58","58","4","Beredar Bocoran iPhone Terbaru, Apa yang Dirombak?","None"
"59","59","4","Gionee, Ponsel Kawakan China yang Goyah Karena Judi","None"
"60","60","4","Bagaimana Perbandingan Tarif Go-Jek dan Grab di Singapura?","None"
"61","61","4","Google Hangouts akan Pensiun 2020?","None"
"62","62","4","Oops! Samsung Tercyduk Ngetweet Pakai iPhone","None"
"63","63","4","Tonton Berita-berita Teknologi Terbaru di Sini","None"
"64","64","4","Meme Derby Merseyside: Blunder Pickford, Lari Heboh Klopp","None"
"65","65","4","Penampilan Cantik Vivo X23 Symphony Edition","None"
"66","66","4","Telkomsel Dukung Digitalisasi Peruri","None"
"67","67","4","Bos Kalah Judi Rp 2 Triliun, Gionee Terancam Bangkrut","None"
"68","68","4","Deretan Hasil Jepretan iPhone XR","None"
"69","69","4","Edan! Speaker Ini Dibanderol Rp 2,7 Miliar","None"
"70","70","4","Ini Dia Ponsel Google Assistant Seharga Rp 99 Ribu","None"
"71","71","4","Asyik! Pesan Go-Jek Bisa Suruh Google Assistant","None"
"72","72","4","Dukung UKM, Lazada Jual Produk Lokal 11 Desember","None"
"73","73","4","Update OS Pixel: Perbaiki Masalah Manajemen RAM","None"
"74","74","4","Catat Tanggalnya! Asus Rilis 3 Ponsel Gaming Sekaligus","None"
"75","75","4","Lazada Beri Promo 99,9% Selama 3 Hari","None"
"76","76","4","Kini Bisa Pesan Ojek Online Pakai Google Assistant","None"
"77","77","4","Cari Lowongan Kerja? Tanya Mbah Google Aja!","None"
"78","78","4","Liga Mobile Game Indonesia Digelar, Hadiahnya Puluhan Juta Rupiah","None"
"79","79","4","Asus ROG Phone Mau Datang, Intip Dulu Penampakannya","None"
"80","80","4","Go-Jek: Sudah Ada Ribuan Driver di Singapura","None"
"81","81","4","Cuma Rp 99 Ribu, Ini Tampilan Ponsel yang Dijual Google","None"
"82","82","4","Qualcomm Tech Summit 2018: 5G Itu Nyata!","None"
"83","83","4","Siap-siap! ROG Phone Sambangi Indonesia","None"
"84","84","4","Logo Go-Jek di Singapura dan Indonesia Sama, Kenapa?","None"
"85","85","4","Asus 'ROG Phone' Segera Rilis di Indonesia","None"
"86","86","4","Kumpulan Meme Tumblr Blokir Konten Porno","None"
"87","87","4","Sudah Tahu Belum? Go-Jek Ganti Baju","None"
"88","88","4","Tumblr Mulai Bersih-bersih Konten Porno","None"
"89","89","4","Grab Resmikan GrabBike Lounge di Kebayoran Lama","None"
"90","90","4","Murah! Google Kenalkan Ponsel Rp 99 Ribu","None"
"91","91","4","Canggih, Begini Jadinya Kalau Kota Diterangi Pakai IoT","None"
"92","92","4","Seperti Inikah Desain Kamera Galaxy S10?","None"
"93","93","4","Apple Tunggu 2020 Rilis iPhone 5G","None"
"94","94","4","Wow! TikTok Jadi Aplikasi Terbaik 2018 Pilihan Pengguna","None"
"95","95","4","Hampir Rampung, Palapa Ring Siap Sambungkan Indonesia di 2019","None"
"96","96","4","Beredar Bocoran Varian Plus dan Ultra Galaxy S10","None"
"97","97","4","Tumblr Blokir Konten Porno Mulai 17 Desember","None"
"98","98","4","'Lindswell Cantik Banget Sih Berhijab...'","None"
"99","99","4","Unboxing Realme U1, Ponsel Buat Generasi Selfie","None"
"100","100","4","Pokemon Go Bakal Punya Mode PvP","None"
"101","101","4","Lenovo Ikutan Garap Ponsel Layar Bolong","None"
"102","102","4","Kok Masih Pakai Charger Berlogo Oppo, Realme?","None"
"103","103","4","Samsung Masih Raja, Huawei Tumbuh Signifikan","None"
"104","104","4","Hoax WhatsApp Kembali Makan Korban","None"
"105","105","4","Galaxy A8s dengan Lubang Kamera di Layar Segera Dirilis","None"
"106","106","4","Ketika Lukisan Klasik Dipadukan Budaya Pop Pakai Photoshop","None"
"107","107","4","Ribuan Penggiat Startup Padati GSI Scale Con 2018","None"
"108","108","4","TikTok Jadi Aplikasi Terbaik di Play Store","None"
"109","109","4","Lebih Hemat! Grab Beri Diskon Rp 50 Ribu di GrabFresh","None"
"110","110","4","Si Penjiplak iPhone Bikin Ponsel yang Punya Proyektor","None"
"111","111","4","Kamera Ponsel Anyar Huawei Bisa Bikin Foto 3D","None"
"112","112","4","Begini Cara Twitter Bikin Netizen Nyaman","None"
"113","113","4","Tarif Impor Mahal, Pabrik iPhone Pindah ke Vietnam?","None"
"114","114","4","Kuning-kuning, Cerahnya Sepeda Listrik Bertarif Sewa Rp 6.000 Per Jam","None"
"115","115","4","Berkat Twitter, Sutopo BNPB dapat Penghargaan Nih!","None"
"116","116","4","Tips Twitter ala @Sutopo_PN, Harus Receh dan Jangan Baper","None"
"117","117","4","Vivo Buka Experience Store Pertama di Indonesia","None"
"118","118","4","Twitter Berantas 70 Juta Akun Negatif Sepanjang 2018","None"
"119","119","4","#RameDiTwitter 2018: Jokowi, Asian Games, Sampai Prabowo","None"
"120","120","4","Jadi Migo Station Janjikan Jutaan Rupiah Tiap Bulan","None"
"121","121","4","Deretan Akun dan Tagar Populer di Twitter Sepanjang 2018","None"
"122","122","4","'Surat Tuhan' Tulisan Albert Einstein Terjual Rp 41 Miliar","None"
"123","123","4","Rilis Ponsel 5G, Samsung Gaet Qualcomm dan Verizon","None"
"124","124","4","Twitter Mulai Ditinggalkan Netizen Indonesia?","None"
"125","125","4","Tumblr Mau Hapus Konten Porno, Ini Kata Kominfo","None"
"126","126","4","Asyik, Warga Jakarta Bisa Sewa Sepeda Listrik","None"
"127","127","4","Kamera iPhone X dan XS 'Kalah' dari Pocophone dan BlackBerry","None"
"128","128","4","Layanan Penyewaan Sepeda Listrik Kini Menyapa Jakarta","None"
"129","129","4","Cas Cis Cus Driver Go-Jek Belajar Bahasa Inggris","None"
"130","130","4","Karyawan Apple Diminta Fokus Jualan Trio iPhone Baru","None"
"131","131","4","Dapat Kucuran Dana, 3 Startup Ini akan Terintegrasi Grab","None"
"132","132","4","Potret Ketika Waktu Mengubah Segalanya","None"
"133","133","4","Cara Beli Gadget Idaman buat Anak Kosan Berkantong Pas-pasan","None"
"134","134","4","Samsung Malaysia Ketahuan Pakai Foto DSLR untuk Iklan Ponsel","None"
"135","135","4","Kursi Roda Ini Bisa Dikontrol Pakai Ekspresi Wajah","None"
"136","136","4","Astronot yang Gagal ke ISS Akhirnya Punya Kesempatan Kedua","None"
"137","137","4","Salip Apple, Xiaomi Jadi Raja Wearable","None"
"138","138","4","Go-Jek Turunkan Harga, Grab Mau Ikutan?","None"
"139","139","4","SpaceX Pecahkan 4 Rekor dalam Sehari","None"
"140","140","4","Vainglory Bakal Tersedia di Windows dan Mac","None"
"141","141","4","Penampakan Snapdragon 855 yang Lebih Kecil dari Koin Rp 500","None"
"142","142","4","Ini Nih Tips Ambil Angle Foto Kece untuk Feed Medsos Kamu!","None"
"143","143","4","Google Ajak Majukan Indonesia Rame-rame","None"
"144","144","4","Deretan Foto Makro dari Ponsel yang Bikin Terpana","None"
"145","145","4","Snapdragon 855 Diumumkan, Smartphone 5G Telah Datang","None"
"146","146","4","AirPods Akan Jadi Aksesoris Apple yang Paling Populer","None"
"147","147","4","Google Go, Aplikasi Pencarian untuk Jaringan Internet Lambat","None"
"148","148","4","Petinggi Huawei Diamankan Pihak Berwajib Kanada","None"
"149","149","4","Aplikasi Grab Kedatangan Sejumlah Fitur Baru, Apa Saja?","None"
"150","150","4","Bosnya Ditangkap di Kanada, Ini Kata Huawei","None"
"151","151","4","Bos Huawei Ditangkap di Kanada","None"
"152","152","4","Ancaman Serius Mobile Gaming buat Game Konsol","None"
"153","153","4","Saingi Chrome, Microsoft Siapkan Browser Baru","None"
"154","154","4","Tips Video Liburan Unik Pakai TikTok, Cobain Yuk!","None"
"155","155","4","Google Matikan Allo?","None"
"156","156","4","PUBG Mulai Langkahi Fortnite","None"
"157","157","4","Ketika Iron Man dan Captain America Tampil Imut","None"
"158","158","4","Inilah Ponsel Pertama 'Berotak' Snapdragon 855","None"
"159","159","4","Akhirnya, Warga Kuba Bisa Akses Internet dari Ponsel Mereka","None"
"160","160","4","Ini Buktinya Kalau Motor Listrik Bisa Dicetak dengan Printer 3D","None"
"161","161","4","Bos Xiaomi Pamer Ponsel Kamera 48 MP","None"
"162","162","4","'Google-nya' Rusia Bikin Ponsel","None"
"163","163","4","Bill Gates Puasa Musik dan Nonton TV 5 Tahun","None"
"164","164","4","Inilah Asus Zenfone Max Pro M2 yang Punya Penampilan Premium","None"
"165","165","4","Asik! Edisi Terbatas Vivo V11 Fairy Pink Resmi Dipasarkan","None"
"166","166","4","Berbagai Negara Siap Bareng-bareng Adopsi 5G","None"
"167","167","4","Jagoan Marvel Hadapi Thanos di Nintendo Switch Tahun Depan","None"
"168","168","4","Ilmuwan Ini Sebut Alien Pernah Sambangi Bumi, Tapi...","None"
"169","169","4","Penampakan Memukau Makhluk Penghuni Dasar Laut","None"
"170","170","4","SAP Indonesia Dapat Gelar 2019 Top Employer","None"
"171","171","4","Dilanda Skandal, Facebook Tak Lagi Tempat Kerja Terbaik","None"
"172","172","4","Rilis Snapdragon 8cx untuk Laptop, Qualcomm Usik Intel","None"
"173","173","4","'Kebangkitan Huawei Dianggap Mengancam Amerika'","None"
"174","174","4","Kisah Kesederhanaan Bos Telko Berharta Rp 811 Triliun","None"
"175","175","4","Qualcomm: 2019 Adalah Tahun 5G","None"
"176","176","4","Goks! Crash Team Racing Bakal Hadir di PlayStation 4","None"
"177","177","4","Skipjack Corporation Memperkenalkan Encrypblock, Apa Itu?","None"
"178","178","4","Ini Spek Lengkap Zenfone Max M2 dan Zenfone Max Pro M2","None"
"179","179","4","Horor di Pearl Harbour 77 Tahun Lalu, dari Balik Lensa Kamera","None"
"180","180","4","Ketersediaan 4G LTE di Indonesia Meningkat Signifikan","None"
"181","181","4","HP Luncurkan 5 Laptop dan 3 Printer Sekaligus di Indonesia","None"
"182","182","4","Yuk Lihat Lagi iPhone XR yang Segera Rilis Resmi di Indonesia","None"
"183","183","4","China Minta Amerika Cepat Lepaskan Bos Huawei","None"
"184","184","4","Minat Beli iPhone Saat Ini Disebut Terlemah dalam 5 Tahun","None"
"185","185","4","Potret Meng Wanzhou, Bos Huawei yang Ditangkap di Kanada","None"
"186","186","4","Perempuan Hobi Main Game di Ponsel, Ini Datanya","None"
"187","187","4","Fitur Chatting di Grab Kini Bisa Kirim Pesan Suara dan Foto","None"
"188","188","4","Penampakan iPhone XS Max Seharga Rp 29 Juta","None"
"189","189","4","Pentingnya Medsos bagi @Sutopo_PN, Tangkal Hoax Sampai Ketemu Raisa","None"
"190","190","4","Oppo Guyur Rp 21 Triliun untuk Riset dan Pengembangan 2019","None"
"191","191","4","Apa Ini Alasan Fanboy Apple Kini Malas Ganti iPhone Baru?","None"
"192","192","4","Ini Harga iPhone XS, XS Max dan XR Resmi di Indonesia","None"
"193","305","2","Mau Sukses, Tiru 5 Sifat dan Karakter Orang Kaya","None"
"194","306","2","Meski Murah, Masih Sedikit Masyarakat yang Mau Investasi di Reksadana","None"
"195","307","2","Tol Bocimi Hadir, Perkembangan Industri Bogor-Sukabumi Bisa Meningkat","None"
"196","308","2","Ada Tol, Sukabumi Jadi Alternatif Wisata Warga Jakarta","None"
"197","309","2","Lewat Tol, Ciawi-Cigombong Hanya 15 Menit","None"
"198","310","2","Ajarkan Investasi Saham hingga Properti Lewat Permainan","None"
"199","311","2","Sri Mulyani: Teknologi Membuka Akses Usaha bagi Perempuan","None"
"200","312","2","Sumber Daya Melimpah, Kementan Jamin Indonesia Tak Kekurangan Pangan","None"
"201","313","2","Tata Kelola Gambut RI Jadi Rujukan Dunia","None"
"202","314","2","Sri Mulyani Bawa Oleh-Oleh Hasil Pertemuan G20","None"
"203","315","2","Pasokan Sayur Mayur Aman, Harga-Harga di Pasar Stabil","None"
"204","316","2","Guru Honorer Berpeluang Punya Hak Setara PNS","None"
"205","317","2","Dari Kasir Warung Kopi, Cucu Bos Chaoroen Kini Punya Startup dengan Pendapatan Jutaan Dolar AS","None"
"206","318","2","Ekspor Mebel Tembus USD1,4 Miliar, Industri Furnitur Dongkrak Pertumbuhan Ekonomi","None"
"207","319","2","297 Pelamar CPNS di Lingkungan Istana Wajib Ikuti SKB","None"
"208","320","2","AS-China Sepakati Gencatan Perang Dagang","None"
"209","321","2","Wall Street Naik Tajam Imbas Gencatan Perang Dagang","None"
"210","322","2","Bersama Presiden Jokowi Hadiri CEO Networking 2018, Hary Tanoesoedibjo: Pasar Modal Perlu Dibangun Imbangi Perbankan di Pasar Uang","None"
"211","323","2","Menristekdikti: Revolusi Industri 4.0 Peluang Indonesia Berkreasi dan Inovasi","None"
"212","324","2","Serah Terima Jabatan, Dwi Soetjipto Resmi Ngantor di SKK Migas","None"
"213","325","2","Pertamina Belum Ajukan Penurunan Harga BBM Non Subsidi","None"
"214","326","2","Sektor Pariwisata Ditargetkan Sumbang Devisa USD20 Miliar pada 2019","None"
"215","327","2","Jadi Kepala SKK Migas, Apa yang Akan Dilakukan Dwi Soetjipto?","None"
"216","328","2","Jelang Akhir Tahun, Kenaikan Harga Pangan Dinilai Masih Wajar","None"
"217","329","2","Blak-blakan Bos MRT tentang Kereta Tanpa Masinis","None"
"218","330","2","Wall Street Lesu Akibat Kekhawatiran Perlambatan Ekonomi AS","None"
"219","331","2","Dirut MRT Beberkan Persiapan Jelang Pengoperasian Maret 2019","None"
"220","332","2","Kenapa Rupiah Bisa Menguat ke Rp14.200? Ini Faktor Pendukungnya","None"
"221","333","2","Perusahaan Migas Italia Komit Aplikasikan Gross Split","None"
"222","334","2","Uang Emisi 1998-1999 Expired, BI Buka Layanan Penukaran di Sabtu dan Minggu","None"
"223","335","2","Bos MRT Ungkap Kesulitan Bangun Transportasi Modern di RI","None"
"224","336","2","Uang Emisi 1998 dan 1999 Tidak Bisa Digunakan Lagi, Ini Alasannya!","None"
"225","337","2","Pertumbuhan Ekonomi Asean Diprediksi Melambat di 2019","None"
"226","338","2","Gencatan Perang Dagang AS-China Bawa Dampak Positif Bagi Ekonomi Indonesia","None"
"227","339","2","Kementan Terima Penghargaan Sistem Pengendalian Gratifikasi Terbaik dari KPK","None"
"228","340","2","Jelang Akhir Tahun, Sri Mulyani Lapor Realisasi APBN 2018 ke Presiden Jokowi","None"
"229","341","2","Sri Mulyani: Satu Dekade Terakhir Ada Rp70 Triliun Anggaran Tak Terserap Tiap Tahun","None"
"230","342","2","Natal dan Tahun Baru, Jumlah Penumpang Kereta Api Meningkat 4,49% Tembus 5,3 Juta","None"
"231","343","2","Sri Mulyani Kucurkan Rp5,2 Triliun untuk Defisit BPJS Kesehatan","None"
"232","344","2","Antisipasi Natal dan Tahun Baru, Kemenhub Tambah 48 Perjalanan Kereta","None"
"233","345","2","Wall Street Anjlok Usai Penangkapan Putri Pendiri Huawei","None"
"234","346","2","Perusahaan Pabrikan iPhone Masuk ke Indonesia, Menko Luhut Jamin Soal Perizinan","None"
"235","347","2","Uni Eropa Larang CPO Indonesia, Menko Luhut ke Polandia Pekan Depan","None"
"236","348","2","Menkeu Temukan Peserta Ganda di Jaminan Kesehatan Capai 5,4 Juta Jiwa","None"
"237","349","2","Defisit APBN Terendah Sejak 2015 Capai Rp287,9 Triliun","None"
"238","350","2","Pekerjaan Apa yang Gajinya Naik Paling Tinggi?","None"
"239","351","2","Kata Sri Mulyani soal Utang BUMN yang Tembus Rp2.488 Triliun","None"
"240","352","2","Menaker Minta Rekruitmen Pekerja Berbasis Kompetensi","None"
"241","353","2","Wall Street Dibuka Lesu Usai Rilis Data Tenaga Kerja","None"
"242","354","2","Revitalisasi Sungai Citarum, Menko Luhut: Kita Akan Buat Danau","None"
"243","355","2","IHSG Naik 1,16% di Pekan Pertama Desember","None"
"244","356","2","Cadangan Devisa Meningkat, Sri Mulyani Terus Antisipasi Dinamika Global","None"
"245","357","2","Sri Mulyani Lantik Andin Hadiyanto Jadi Staf Ahli","None"
"246","358","2","Rupiah Sempat Melemah, BI: Dipengaruhi Kekhawatiran Pasar","None"
"247","359","2","Segera Diresmikan, Realisasi investasi KEK Galang Batang Rp5,6 Triliun","None"
"248","360","2","LPEI Gali Peluang Kerjasama Ekonomi Indonesia-Afrika","None"
"249","361","2","Ekspor Anak Ayam ke Timor Leste Terus Meningkat","None"
"250","362","2","Komentar Presiden Jokowi Soal Penguatan Rupiah","None"
"251","363","2","Mengintip Perjalanan Karir Bos Unilever Paul Polman","None"
"252","364","2","Mengenal Mary Barra, Bos Wanita Paling Berpengaruh di Dunia","None"
"253","365","2","Mau Daftar NPWP Online? Cek Langkahnya Disini!","None"
"254","366","2","Fakta-Fakta 4 Uang Rupiah yang Tidak Berlaku Lagi","None"
"255","367","2","Harga Telur Ayam Melonjak Jadi Rp27.000/Kg","None"
"256","368","2","Mahalnya Harga Daging Ayam, Kini Dijual Rp38.000","None"
"257","369","6","Dituding Intervensi Muktamar, Abdul Mu'ti: Info Pak Amien Tak Akurat","None"
"258","370","6","MUI DIY: 212 Dulu Dalam Rangka Masalah Ahok, Sekarang Apa Lagi?","None"
"259","371","6","Mendagri Nonton Wayang Kulit di Yogya, Lakonnya Sengkuni Gugur","None"
"260","372","6","Bikin Sapu di Temanggung, Sandi: Buat Bersihkan Kotoran di Negara Ini","None"
"261","373","6","Tim Alpha Deklarasi Dukungan Siap Menangkan Jokowi di Jateng","None"
"262","374","6","Tentang Pilpres Armageddon, Mahfud Md: Nakut-nakutin Aja, Pak Amien","None"
"263","375","6","Mahfud MD: Reuni 212 Kental Nuansa Politis Tapi Biarin Saja","None"
"264","376","6","Ini Donasi untuk Palu-Donggala Pasca Menhub dan Abdee Lelang Gitar","None"
"265","377","6","Pohon Tumbang, Jalur Pantura Kudus-Pati Sempat Macet 1 Jam","None"
"266","378","6","Imbau Kadernya Ikut Reuni 212, PKS DIY: Tak Ada Urusan Politik","None"
"267","379","6","Ada Imbauan dari Partai, 500 Kader PKS DIY ke Jakarta Ikut Reuni 212","None"
"268","380","6","Teleskop Zeiss yang Terbesar Milik Boscha Kini Berusia 90 Tahun","None"
"269","381","6","Polisi Tangkap Penyelundup Sabu-sabu Lewat Anus ke Lapas Ciamis","None"
"270","382","6","Mobil Chevrolet Terseret KA Sri Tanjung, Tiga Penumpang Luka","None"
"271","383","6","Mau Dilaporkan Tommy Soeharto, Ratusan Pengacara Bela Basarah","None"
"272","384","6","Terpeleset, Pelajar SMP Tewas Tenggelam di Taman Angsa","None"
"273","385","6","Massa Reuni 212 Asal Purwakarta Mulai Bertolak ke Jakarta","None"
"274","386","6","Kata Mendagri Soal Isu Intervensi di Muktamar Pemuda Muhammadiyah","None"
"275","387","6","Toko Ponsel di Mojokerto Dibobol Pencuri, Kerugian Rp 300 Juta","None"
"276","388","6","Kaget Banyak yang Tak Kenal Prabowo, Sandiaga Jadi Ingin Lakukan Ini","None"
"277","389","6","Polisi Siaga di Lokasi Bekas Bentrokan Geng Motor di Cimahi","None"
"278","390","6","Evakuasi Mahasiswa Papua Rampung, Begini Situasi Jalan Kalasan","None"
"279","391","6","Syahbandar Sebut Kebakaran GM Gerbang Samudra I dari Dek Kapal","None"
"280","392","6","5 Karyawan SPBU di Banyuwangi Ditangkap Salahgunakan BBM Bersubsidi","None"
"281","393","6","153 Mahasiswa Papua Berhasil Dievakuasi, Jalan Kalasan Kembali Dibuka","None"
"282","394","6","Bentrok Dua Kelompok Bermotor di Cimahi, Dua Orang Luka","None"
"283","395","6","Polisi juga Amankan WNA Australia dari Asrama Mahasiswa Papua","None"
"284","396","6","2 Santri Ponpes di Lumajang Tewas Tenggelam Saat Bersihkan Septi Tank","None"
"285","397","6","Mobil Rombongan Pengantin Terguling di Tanjakan Panganten Garut","None"
"286","398","6","Polisi Bantah Dua Mahasiswa Papua Hilang, Ini Faktanya","None"
"287","399","6","Polisi Pulangkan Mahasiswa Papua yang Tidak Kuliah di Surabaya","None"
"288","400","6","Rieke Ungkap Bakal Ada Pengangkatan PNS Tenaga Kesehatan Lagi","None"
"289","401","6","Mencekam, Asrama Mahasiswa Papua di Surabaya Dikepung Ormas","None"
"290","402","6","Seorang Remaja Tenggelam di Waduk Sempor","None"
"291","403","6","Rekaman CCTV Ungkap Pelaku Pembunuhan Perempuan di Boyolali","None"
"292","404","6","Bayi 7 Bulan Ini Pingsan 2 Kali Saat KM Gerbang Samudra I Terbakar","None"
"293","405","6","Ini Tanggapan Sandiaga Terkait Dukungan Partai Bulan Bintang","None"
"294","406","6","Buya Syafii Angkat Bicara Soal Kasus Habib Bahar","None"
"295","407","6","Sosok Cak Nanto di Mata Buya Syafii","None"
"296","408","6","Buya Syafii: Muktamar Pemuda Muhammadiyah Tak Ada Intervensi","None"
"297","409","6","Butuh 2 Jam Padamkan Api yang Lahap Gedung di Undar Jombang","None"
"298","410","6","Puluhan Pelajar SD Sukabumi Keracunan Bubur Gratisan","None"
"299","411","6","Emil Dardak Restui Dua Adiknya Nyaleg","None"
"300","412","6","Gedung Fakultas Ilmu Pendidikan Undar Jombang Terbakar","None"
"301","413","6","Stasiun Tawang Semarang Tergenang Air","None"
"302","414","6","Komplotan Pembuat Dokumen Palsu Bertarif Jutaan Rupiah Diringkus","None"
"303","415","6","Berselawat, Maman Imanulhaq Ajak Massa Istigasah Acung Jari Satu","None"
"304","416","6","Kerap Aniaya Ibu Kandung, Pria Ini Ditemukan Tewas di Kebun Pisang","None"
"305","417","6","BBWS Citarum Berencana Tambah Kolam Retensi di Bandung Selatan","None"
"306","418","6","Jenazah Bos Batik Keris tiba di Solo dengan Pesawat Carter","None"
"307","419","6","Sepekan Jembatan di Bojonegoro Ambruk, Warga Masih Kesulitan Akses","None"
"308","420","6","Hujan dan Angin Kencang Landa Semarang, Sejumlah Pohon Tumbang","None"
"309","421","6","Masih Trauma, Warga Sekitar Lumpur Sidoarjo Tolak Pengeboran Baru","None"
"310","422","6","Ini Pesan Ma'ruf Amin untuk Massa Istigasah di Garut","None"
"311","423","6","Ini Solusi Gubernur Soekarwo Redam Konflik Mahasiswa Papua","None"
"312","424","6","Dishub Jatim Tegaskan Kebijakan Ganjil Genap Masih Wacana","None"
"313","425","6","Dor! Garong Motor di Bandung Tersungkur Ditembak","None"
"314","426","6","Caleg Gerindra Ditahan Kejari Brebes karena Kasus Penggelapan","None"
"315","427","6","Kasus Pencabulan Santri di Mojokerto Terganjal Pelaku Mangkir","None"
"316","428","6","Ternyata Ini Motif Fajar Habisi Nyawa dan Perkosa Kasir di Boyolali","None"
"317","429","6","305 Titik Rawan Bencana, 1.427 Petugas KA Siaga Natal dan Tahun Baru","None"
"318","430","6","Polisi Harus Serius Usut Aliran Sesat Pimpinan Sensen Komara","None"
"319","431","6","Putri Ma'ruf Amin Soal Istigasah di Garut : Bukan Politik, Murni Doa","None"
"320","432","6","MUI Polisikan Warga Garut Pembuat Surat Sensen Rasul Allah","None"
"321","433","6","Pengamat: Reuni 212 Tidak Hanya Gerakan Politik tapi Ideologi","None"
"322","434","6","Polda Jabar Selidiki Kasus Begal yang Tewaskan Perawat Neng","None"
"323","435","6","22 Ribu Nelayan di Pantura Cirebon Diganjar Asuransi Gratis","None"
"324","436","6","Pemkot dan Pengusaha Ritel Sepakat Kurangi Kantong Plastik di Bandung","None"
