"berita","id","kelas"
"toko online laku tipsnya","43","threat"
"alas go-jek ganti logo","44","none"
"unboxing headphone premium rp juta","45","opportunity"
"lg g thinq keluh bootloop","46","threat"
"pertama dunia jepang siar tv k","47","threat"
"google hangouts tak tutup","48","threat"
"hajat elektronik icee indonesia gelar apa","49","threat"
"mau jalan luar angkasa nasa jual tiket","50","none"
"jejak ponsel gionee bangkrut judi","51","threat"
"samsung ciduk nge-tweet pakai iphone","52","threat"
"roket soyuz siap antar astronot stasiun antariksa","53","none"
"aku bos gionee judi triliun pakai duit usaha","54","threat"
"microsoft bakal rilis perangkat layar lipat nama andromeda","55","opportunity"
"prediksi jahat pakai ai film minority report jadi nyata","56","none"
"kenal data jaring riset digital muka australia","57","none"
"edar bocor iphone baru apa rombak","58","threat"
"gionee ponsel kawak china goyah judi","59","threat"
"bagaimana banding tarif go-jek grab singapura","60","opportunity"
"google hangouts pensiun","61","threat"
"oops samsung tercyduk ngetweet pakai iphone","62","threat"
"tonton berita teknologi baru sini","63","none"
"meme derby merseyside blunder pickford lari heboh klopp","64","none"
"tampil cantik vivo x symphony edition","65","opportunity"
"telkomsel dukung digitalisasi uri","66","opportunity"
"bos kalah judi rp triliun gionee ancam bangkrut","67","threat"
"deret hasil jepret iphone xr","68","opportunity"
"edan speaker banderol rp miliar","69","threat"
"dia ponsel google assistant harga rp ribu","70","opportunity"
"asyik pesan go-jek suruh google assistant","71","opportunity"
"dukung ukm lazada jual produk lokal desember","72","threat"
"update os pixel baik masalah manajemen ram","73","opportunity"
"catat tanggal asus rilis ponsel gaming sekaligus","74","opportunity"
"lazada beri promo lama hari","75","threat"
"kini pesan ojek online pakai google assistant","76","opportunity"
"cari lowong kerja tanya mbah google aja","77","opportunity"
"liga mobile game indonesia gelar hadiah puluh juta rupiah","78","none"
"asus rog phone mau datang intip dulu tampak","79","none"
"go-jek ada ribu driver singapura","80","opportunity"
"cuma rp ribu tampil ponsel jual google","81","opportunity"
"qualcomm tech summit g nyata","82","opportunity"
"siap rog phone sambang indonesia","83","none"
"logo go-jek singapura indonesia sama","84","none"
"asus rog phone segera rilis indonesia","85","none"
"kumpul meme tumblr blokir konten porno","86","none"
"tahu go-jek ganti baju","87","none"
"tumblr mulai bersih konten porno","88","none"
"grab resmi grabbike lounge kebayoran lama","89","none"
"murah google kenal ponsel rp ribu","90","opportunity"
"canggih begini jadi kalau kota rang pakai iot","91","opportunity"
"ini desain kamera galaxy s","92","opportunity"
"apple tunggu rilis iphone g","93","opportunity"
"wow tiktok jadi aplikasi baik pilih","94","opportunity"
"hampir rampung palapa ring siap sambung indonesia","95","none"
"edar bocor varian plus ultra galaxy s","96","opportunity"
"tumblr blokir konten porno mulai desember","97","opportunity"
"lindswell cantik banget sih hijab","98","none"
"unboxing realme u ponsel buat generasi selfie","99","opportunity"
"pokemon go bakal punya mode pvp","100","opportunity"
"lenovo ikut garap ponsel layar bolong","101","opportunity"
"kok pakai charger logo oppo realme","102","opportunity"
"samsung raja huawei tumbuh signifikan","103","opportunity"
"hoax whatsapp makan korban","104","threat"
"galaxy as lubang kamera layar segera rilis","105","opportunity"
"lukis klasik padu budaya pop pakai photoshop","106","none"
"ribu giat startup padat gsi scale con","107","threat"
"tiktok jadi aplikasi baik play store","108","opportunity"
"lebih hemat grab beri diskon rp ribu grabfresh","109","none"
"si jiplak iphone bikin ponsel punya proyektor","110","threat"
"kamera ponsel anyar huawei bikin foto d","111","opportunity"
"begini cara twitter bikin netizen nyaman","112","opportunity"
"tarif impor mahal pabrik iphone pindah vietnam","113","threat"
"kuning cerah sepeda listrik tarif sewa rp per jam","114","threat"
"berkat twitter sutopo bnpb harga nih","115","none"
"tips twitter ala sutopo pn receh jangan baper","116","none"
"vivo buka experience store pertama indonesia","117","opportunity"
"twitter berantas juta akun negatif panjang","118","threat"
"rameditwitter jokowi asi games prabowo","119","none"
"jadi migo station janji juta rupiah tiap bulan","120","none"
"deret akun tagar populer twitter panjang","121","none"
"surat tuhan tulis albert einstein jual rp miliar","122","none"
"rilis ponsel g samsung gaet qualcomm verizon","123","opportunity"
"twitter mulai tinggal netizen indonesia","124","threat"
"tumblr mau hapus konten porno kata kominfo","125","threat"
"asyik warga jakarta sewa sepeda listrik","126","none"
"kamera iphone x xs kalah pocophone blackberry","127","opportunity"
"layan sewa sepeda listrik kini sapa jakarta","128","opportunity"
"cas cis cus driver go-jek ajar bahasa inggris","129","none"
"karyawan apple minta fokus jual trio iphone baru","130","opportunity"
"kucur dana startup akan integrasi grab","131","threat"
"potret waktu ubah segala","132","none"
"cara beli gadget idam buat anak kosan kantong pas","133","opportunity"
"samsung malaysia tahu pakai foto dslr iklan ponsel","134","opportunity"
"kursi roda bisa kontrol pakai ekspresi wajah","135","threat"
"astronot gagal iss akhir punya sempat","136","none"
"salip apple xiaomi jadi raja wearable","137","opportunity"
"go-jek turun harga grab mau ikut","138","opportunity"
"spacex pecah rekor hari","139","none"
"vainglory bakal sedia windows mac","140","none"
"tampak snapdragon lebih kecil koin rp","141","opportunity"
"nih tips ambil angle foto kece feed medsos kamu","142","none"
"google ajak maju indonesia rame-rame","143","opportunity"
"deret foto makro ponsel bikin terpana","144","none"
"snapdragon umum smartphone g datang","145","opportunity"
"airpods jadi aksesoris apple paling populer","146","opportunity"
"google go aplikasi cari jaring internet lambat","147","opportunity"
"petinggi huawei aman pihak wajib kanada","148","threat"
"aplikasi grab datang jumlah fitur baru apa","149","none"
"bos tangkap kanada kata huawei","150","threat"
"bos huawei tangkap kanada","151","threat"
"ancam serius mobile gaming buat game konsol","152","opportunity"
"saing chrome microsoft siap browser baru","153","threat"
"tips video libur unik pakai tiktok cobain yuk","154","none"
"google mati allo","155","threat"
"pubg mulai langkah fortnite","156","opportunity"
"iron man captain america tampil imut","157","none"
"ponsel pertama otak snapdragon","158","none"
"akhir warga kuba akses internet ponsel","159","opportunity"
"bukti kalau motor listrik cetak printer d","160","none"
"bos xiaomi pamer ponsel kamera mp","161","opportunity"
"google-nya rusia bikin ponsel","162","threat"
"bill gates puasa musik nonton tv tahun","163","none"
"asus zenfone max pro m punya tampil premium","164","opportunity"
"asik edisi batas vivo v fairy pink resmi pasar","165","opportunity"
"bagai negara siap bareng adopsi g","166","opportunity"
"jago marvel hadap thanos nintendo switch tahun depan","167","none"
"ilmuwan sebut alien pernah sambang bumi","168","none"
"tampak pukau makhluk huni dasar laut","169","none"
"sap indonesia gelar top employer","170","none"
"landa skandal facebook tak tempat kerja baik","171","threat"
"rilis snapdragon cx laptop qualcomm usik intel","172","opportunity"
"bangkit huawei anggap ancam amerika","173","threat"
"kisah sederhana bos telko harta rp triliun","174","none"
"qualcomm tahun g","175","opportunity"
"goks crash team racing bakal hadir playstation","176","none"
"skipjack corporation kenal encrypblock apa","177","threat"
"spek lengkap zenfone max m zenfone max pro m","178","opportunity"
"horor pearl harbour tahun lalu balik lensa kamera","179","opportunity"
"sedia g lte indonesia tingkat signifikan","180","opportunity"
"hp luncur laptop printer sekaligus indonesia","181","none"
"yuk lihat iphone xr segera rilis resmi indonesia","182","opportunity"
"china minta amerika cepat lepas bos huawei","183","threat"
"minat beli iphone ini sebut lemah tahun","184","threat"
"potret meng wanzhou bos huawei tangkap kanada","185","threat"
"perempuan hobi main game ponsel data","186","opportunity"
"fitur chatting grab kini kirim pesan suara foto","187","none"
"tampak iphone xs max harga rp juta","188","opportunity"
"penting medsos sutopo pn tangkal hoax ketemu raisa","189","none"
"oppo guyur rp triliun riset kembang","190","opportunity"
"apa alas fanboy apple kini malas ganti iphone baru","191","threat"
"harga iphone xs xs max xr resmi indonesia","192","opportunity"
"mau sukses tiru sifat karakter orang kaya","305","none"
"meski murah sedikit masyarakat mau investasi reksadana","306","none"
"tol bocimi hadir kembang industri bogor-sukabumi tingkat","307","opportunity"
"tol sukabumi jadi alternatif wisata warga jakarta","308","opportunity"
"lewat tol ciawi-cigombong menit","309","opportunity"
"ajar investasi saham hingga properti lewat main","310","none"
"sri mulyani teknologi buka akses usaha perempuan","311","opportunity"
"sumber daya limpah tan jamin indonesia tak kurang pangan","312","threat"
"tata kelola gambut ri jadi rujuk dunia","313","none"
"sri mulyani bawa hasil temu g","314","threat"
"pasok sayur mayur aman harga pasar stabil","315","none"
"guru honorer peluang punya hak tara pns","316","none"
"kasir warung kopi cucu bos chaoroen kini punya startup dapat juta dolar as","317","threat"
"ekspor mebel tembus usd miliar industri furnitur dongkrak tumbuh ekonomi","318","none"
"lamar cpns lingkung istana wajib ikut skb","319","none"
"as-china sepakat gencat perang dagang","320","opportunity"
"wall street naik tajam imbas gencat perang dagang","321","opportunity"
"sama presiden jokowi hadir ceo networking hary tanoesoedibjo pasar modal perlu bangun imbang perban pasar uang","322","threat"
"menristekdikti revolusi industri peluang indonesia kreasi inovasi","323","threat"
"serah terima jabat dwi soetjipto resmi ngantor skk migas","324","none"
"pertamina aju turun harga bbm non subsidi","325","none"
"sektor pariwisata target sumbang devisa usd miliar","326","opportunity"
"jadi kepala skk migas apa akan laku dwi soetjipto","327","none"
"jelang akhir tahun naik harga pangan nilai wajar","328","threat"
"blak-blakan bos mrt kereta masinis","329","none"
"wall street lesu akibat khawatir lambat ekonomi as","330","threat"
"dirut mrt kan siap jelang operasi maret","331","none"
"rupiah kuat rp faktor dukung","332","opportunity"
"usaha migas italia komit aplikasi gross split","333","none"
"uang emisi - expired bi buka layan tukar sabtu minggu","334","none"
"bos mrt ungkap sulit bangun transportasi modern ri","335","none"
"uang emisi tidak guna ini alas","336","none"
"tumbuh ekonomi asean prediksi lambat","337","threat"
"gencat perang dagang as-china bawa dampak positif ekonomi indonesia","338","opportunity"
"tan terima harga sistem kendali gratifikasi baik kpk","339","none"
"jelang akhir tahun sri mulyani lapor realisasi apbn presiden jokowi","340","none"
"sri mulyani satu dekade akhir rp triliun anggar tak serap tiap tahun","341","threat"
"natal tahun baru jumlah tumpang kereta api tingkat tembus juta","342","none"
"sri mulyani kucur rp triliun defisit bpjs sehat","343","none"
"antisipasi natal tahun baru kemenhub tambah jalan kereta","344","none"
"wall street anjlok usai tangkap putri diri huawei","345","threat"
"usaha pabrikan iphone masuk indonesia menko luhut jamin soal izin","346","threat"
"uni eropa larang cpo indonesia menko luhut polandia pekan depan","347","none"
"menkeu temu ganda jamin sehat capai juta jiwa","348","none"
"defisit apbn rendah sejak capai rp triliun","349","threat"
"kerja apa gaji naik paling tinggi","350","none"
"kata sri mulyani soal utang bumn tembus rp triliun","351","threat"
"menaker minta rekruitmen kerja bas kompetensi","352","none"
"wall street buka lesu usai rilis data tenaga kerja","353","threat"
"revitalisasi sungai citarum menko luhut akan buat danau","354","none"
"ihsg naik pekan pertama desember","355","opportunity"
"cadang devisa tingkat sri mulyani terus antisipasi dinamika global","356","opportunity"
"sri mulyani lantik andin hadiyanto jadi staf ahli","357","none"
"rupiah sempat lemah bi pengaruh khawatir pasar","358","threat"
"segera resmi realisasi investasi kek galang batang rp triliun","359","none"
"lpei gali peluang kerjasama ekonomi indonesia-afrika","360","opportunity"
"ekspor anak ayam timor leste terus tingkat","361","none"
"komentar presiden jokowi soal kuat rupiah","362","opportunity"
"intip jalan karir bos unilever paul polman","363","none"
"kenal mary barra bos wanita paling pengaruh dunia","364","none"
"mau daftar npwp online cek langkah sini","365","none"
"fakta uang rupiah tidak laku","366","none"
"harga telur ayam lonjak jadi rp kg","367","none"
"mahal harga daging ayam kini jual rp","368","none"
"tuding intervensi muktamar abdul mu ti info pak amien tak akurat","369","none"
"mui diy dulu rangka masalah ahok sekarang apa","370","opportunity"
"mendagri nonton wayang kulit yogya lakon sengkuni gugur","371","none"
"bikin sapu tanggung sandi buat sih kotor negara","372","none"
"tim alpha deklarasi dukung siap menang jokowi jateng","373","none"
"pilpres armageddon mahfud md nakut-nakutin aja pak amien","374","none"
"mahfud md reuni kental nuansa politis biarin","375","opportunity"
"donasi palu-donggala pasca menhub abdee lelang gitar","376","none"
"pohon tumbang jalur pantura kudus-pati sempat macet jam","377","none"
"imbau kader ikut reuni pks diy tak urus politik","378","none"
"imbau partai kader pks diy jakarta ikut reuni","379","none"
"teleskop zeiss besar milik boscha kini usia tahun","380","none"
"polisi tangkap selundup sabu-sabu lewat anus lapas ciamis","381","threat"
"mobil chevrolet seret ka sri tanjung tiga tumpang luka","382","none"
"mau lapor tommy soeharto ratus acara bela basarah","383","none"
"peleset ajar smp tewas tenggelam taman angsa","384","none"
"massa reuni asal purwakarta mulai tolak jakarta","385","opportunity"
"kata mendagri soal isu intervensi muktamar pemuda muhammadiyah","386","none"
"toko ponsel mojokerto bobol curi rugi rp juta","387","threat"
"kaget banyak tak kenal prabowo sandiaga jadi laku","388","none"
"polisi siaga lokasi bekas bentrok geng motor cimahi","389","threat"
"evakuasi mahasiswa papua rampung begini situasi jalan kalas","390","none"
"syahbandar sebut bakar gm gerbang samudra i dek kapal","391","none"
"karyawan spbu banyuwangi tangkap salahgunakan bbm subsidi","392","none"
"mahasiswa papua hasil evakuasi jalan kalas buka","393","none"
"bentrok kelompok motor cimahi orang luka","394","threat"
"polisi aman wna australia asrama mahasiswa papua","395","none"
"santri ponpes lumajang tewas tenggelam sih septi tank","396","none"
"mobil rombong pengantin guling tanjak panganten garut","397","threat"
"polisi bantah mahasiswa papua hilang fakta","398","none"
"polisi pulang mahasiswa papua tidak kuliah surabaya","399","none"
"rieke ungkap bakal angkat pns tenaga sehat","400","opportunity"
"cekam asrama mahasiswa papua surabaya kepung ormas","401","none"
"orang remaja tenggelam waduk sempor","402","none"
"rekam cctv ungkap laku bunuh perempuan boyolali","403","none"
"bayi bulan pingsan kali km gerbang samudra i bakar","404","none"
"tanggap sandiaga kait dukung partai bulan bintang","405","none"
"buya syafii angkat bicara soal kasus habib bahar","406","none"
"sosok cak nanto mata buya syafii","407","none"
"buya syafii muktamar pemuda muhammadiyah tak intervensi","408","none"
"butuh jam padam api lahap gedung undar jombang","409","threat"
"puluh ajar sd sukabumi racun bubur gratis","410","threat"
"emil dardak restu adik nyaleg","411","none"
"gedung fakultas ilmu didik undar jombang bakar","412","threat"
"stasiun tawang semarang genang air","413","threat"
"komplot buat dokumen palsu tarif juta rupiah ringkus","414","none"
"selawat maman imanulhaq ajak massa istigasah acung jari satu","415","none"
"kerap aniaya ibu kandung pria temu tewas kebun pisang","416","none"
"bbws citarum rencana tambah kolam retensi bandung selatan","417","opportunity"
"jenazah bos batik keris tiba solo pesawat carter","418","none"
"pek jembatan bojonegoro ambruk warga sulit akses","419","threat"
"hujan angin kencang landa semarang jumlah pohon tumbang","420","threat"
"trauma warga lumpur sidoarjo tolak bor baru","421","threat"
"pesan ma ruf amin massa istigasah garut","422","none"
"solusi gubernur soekarwo redam konflik mahasiswa papua","423","none"
"dishub jatim tegas bijak ganjil genap wacana","424","threat"
"dor garong motor bandung sungkur tembak","425","threat"
"caleg gerindra tahan kejar brebes kasus gelap","426","none"
"kasus cabul santri mojokerto ganjal laku mangkir","427","none"
"nyata motif fajar habis nyawa perkosa kasir boyolali","428","none"
"titik rawan bencana tugas ka siaga natal tahun baru","429","threat"
"polisi serius usut alir sesat pimpin sensen komara","430","none"
"putri ma ruf amin soal istigasah garut bukan politik murni doa","431","none"
"mui polisi warga garut buat surat sensen rasul allah","432","none"
"reuni hanya gera politik ideologi","433","opportunity"
"polda jabar selidik kasus begal tewas awat neng","434","none"
"ribu nelayan pantura cirebon ganjar asuransi gratis","435","opportunity"
"pemkot usaha ritel sepakat kurang kantong plastik bandung","436","opportunity"
"situs wisata gua pawon masuk prioritas ridwan kamil","437","opportunity"
"viral video biker pukul spion mobil hingga patah lembang","438","none"
"angin kencang terjang lereng rapi boyolali puluh rumah rusak","439","threat"
"reuni nilai gera politik minim edukasi elektoral","440","opportunity"
"sandiaga didapuk jadi keluarga ponpes sunan drajat hormat","441","none"
"edar sabu sergap tol rupa jaring lapas","442","none"
"cerita korban curi motor temu polres indramayu","443","none"
"polisi aman kosmetik ilegal endorse artis indonesia","444","none"
"sosok handianto tjokrosaputro bos batik keris tutup usia","445","none"
"kades kampanye sandiaga bakal sidang maraton","446","none"
"puluh rumah wonosoco kudus terjang banjir bandang","447","threat"
"motor curi pamer mapolres indramayu","448","threat"
"ridwan kamil luncur jabar masagi gedung negara cirebon","449","opportunity"
"kpk periksa jabat perum jasa tirta mapolres purwakarta","450","none"
"polres cirebon tangkap bunuh atun","451","none"
"wawan suap kalapas sukamiskin buat ngamar sampai sekarang","452","none"
"nelayan karawang tanam mangrove langka pantai pasir putih","453","none"
"tiga tahun resmi pasar keren sarijadi sepi melompong","454","none"
"sensen komara sebut ikut sosok rasul","455","none"
"longsor jadi trenggalek rincian rusa","456","threat"
"asuh ponpes bantah cabul santri keluarga korban tuntut","457","none"
"perintah gelontor rp miliar sungai citarum","458","opportunity"
"mobil sedan bakar simpang tiga taman pelangi tumpang shock","459","none"
"pemkot bandung ambil alih kelola pasar baru","460","opportunity"
"pasar kota bandung revitalisasi","461","opportunity"
"begini situasi tunagrahita simulasi coblos ponorogo","462","none"
"terima suap napi lapas sukamiskin wahid khilaf","463","none"
"kades kampanye sandiaga lolos sanksi henti","464","none"
"berkat nama waspada syukur ketemu jodoh","465","none"
"pohon tumbang timpa mobil jember kemudi luka ringan","466","none"
"mas kanjeng vonis nihil jaksa aju banding","467","none"
"ungkap fuad amin pura rs padahal rumah mewah dago","468","none"
"sungai cisarua sukabumi luap rumah warga rendam","469","threat"
"kppu awas industri jasa uang tambang","470","none"
"klhk usaha indonesia predikat hijau emas","471","opportunity"
"tawur ajar cirebon polisi minta sekolah tindak tegas","472","threat"
"festival kebaya banyuwangi tampil sentuh segar desain","473","opportunity"
"tim jabar saber hoaks gawang milenial","474","opportunity"
"alir sesat sensen komara bikin resah warga garut","475","none"
"polisi kawal pesta tahun baru cirebon","476","none"
"nenek tewas timbun longsor sukabumi","477","none"
"polisi gowes bareng ulama ormas islam jalin silaturahmi","478","opportunity"
"akhir tahun pabrik ka besar indonesia bangun banyuwangi","479","opportunity"
"tempat akan jadi destinasi wisata arsitektur banyuwangi","480","opportunity"
"reuni datang stasiun gondangdia","481","opportunity"
"ribu reuni padat stasiun bogor malam","482","opportunity"
"dirjen pas napi aceh salat jamaah malah manfaat oknum kabur","483","none"
"antisipasi antre tumpang reuni kci tambah tugas loket stasiun","484","opportunity"
"bocah laki tenggelam kali batang hari jakbar","485","none"
"stasiun gondangdia juanda lengang pasca-aksi reuni","486","opportunity"
"identitas mahasiswa unpri tewas mandi air panas","487","none"
"mahasiswa unpri pergi libur tahu pihak kampus","488","none"
,"489","none"
"dor polisi kendali sabu sindikat malaysia intai bulan","490","none"
"jalur pantura semarang kendal-batang banjir awas macet","491","threat"
"arti panggil khusus mclaren ketua umum ppp yaya purnomo akhir ungkap","492","none"
"teliti muka tanah jakut turun cm per tahun","493","threat"
"jalur pantura kaligawe banjir parah ganjar maaf tanggung jawab","494","threat"
"curhat hari banjir ganjar traktir warga semarang mi ayam","495","threat"
"curhat tolak tuhan kritik orang yahudi surat albert einstein lelang","496","none"
"residivis nekat curi motor foya istri","497","none"
"jadi korupsi e-ktp keponakan setnov made oka vonis tahun penjara","498","none"
"duga salah prosedur truk pju tabrak motor","499","none"
"curi hp pasang kasih tangkap polisi","500","threat"
"polisi sebut kkb nduga bukan dari opm","501","none"
,"502","none"
"kuasa hukum sebut habib bahar tetap sangka jam periksa","503","none"
"hendak tawur ratus ajar sekolah aman polisi","504","none"
"bicara forum internasional hary tanoe sektor properti pariwisata dukung","505","opportunity"
"polri minta tegas tangan kasus habib bahar","506","none"
"catat bangun rusak akibat terjang puting beliung bogor","507","threat"
"tabrak pesawat militer as jepang marinir tewas hilang","508","none"
"intip seru selfie alat perang tni ad lapang jenderal soedirman","509","opportunity"
"ombudsman dki sebut pintu keluar jpm tanah abang tempat mangkal copet","510","threat"
"desak tahan istimewa melayu puluh ribu orang unjuk rasa malaysia","511","none"
"ratus ribu jemaat hadir acara natal gbk aparat gabung terjun","512","opportunity"
"mapolsek genuk banjir polisi gotong royong bikin tanggul darurat","513","none"
"ekspor anak ayam timor leste terus tingkat","514","opportunity"
"google doodle tampil pahlawan perempuan indonesia asal minahasa maria walanda maramis","515","opportunity"
"berita hoax marak whatsapp jelang milu nigeria","516","threat"
"google gagal bangun youtube premium","517","none"
"iphone xs xs max xr bakal masuk indonesia","518","opportunity"
"windows bakal mati fitur anti sadap suara","519","opportunity"
"google hangouts bakal mati","520","threat"
"galaxy fold jadi nama ponsel lipat samsung","521","opportunity"
,"522",
"ini wujud mobile led screen pertama indonesia","523","opportunity"
"ponsel ram hingga gb","524","opportunity"
"takjub tampak bulan jarak dekat","525","none"
"nasa rencana luncur misi darat bulan","526","none"
"teknologi speaker stella utopia em evo iii harga rp miliar","527","none"
"lelang tiga batu bulan era soviet laku rp miliar","528","none"
"adopsi apple ios lebih cepat ketimbang ios","529","opportunity"
"spacex tunda terbang falcon luar angkasa","530","none"
"mnc play dukung gelar imbex","531","none"
"predator helios jalan game berat fitur backlit keyboard","532","none"
"resmi luncur redbus tawar layan mes tiket bus online","533","none"
"teliti cipta inovasi inspirasi lidah kucing","534","none"
"saing samsung sony bikin ponsel lipat layar transparan","535","opportunity"
"virgin galactic kirim manusia luar angkasa akhir desember","536","none"
"google search mudah cari lowong kerja","537","opportunity"
"google hadir ponsel rp ribu wizphone fiturnya","538","opportunity"
"youtuber usia tahun milik hasil rp miliar","539","opportunity"
"asus rog phone siap luncur desember spesifikasi","540","opportunity"
"asisten google luncur ponsel murah wizphone","541","opportunity"
"google beri latih juta ukm hingga","542","opportunity"
"asteroid bennu bakal tabrak bumi sebab kiamat","543","threat"
"temu dinosaurus spesies baru yakin hidup juta tahun lalu","544","none"
"rilis desember bocor zenfone max pro m","545","opportunity"
"snapdragon deret teknologi pamer qualcomm","546","opportunity"
"tips charging ponsel awet","547","opportunity"
"revenue pubg mobile lampau fortnite pertama kali","548","none"
"xperia xz jadi ponsel pertama cicip snapdragon","549","opportunity"
"jaring g lahir transisi teknologi besar tantang","550","opportunity"
"cara pubg mobile lancar main ponsel","551","opportunity"
"update fortnite tambah kendara senjata custom","552","opportunity"
"google bakal mati aplikasi allo","553","threat"
"spesifikasi asus rog zephyrus s desain tipis","554","opportunity"
"asus kenal jumlah laptop gaming baru indonesia","555","none"
"oneplus baru bakal dukung g snapdragon","556","opportunity"
"baru punya smartphone android hal perlu perhati","557","opportunity"
"desember ici apstv siap gelar idcon","558","opportunity"
"game crash team racing versi baru hadir juni","559","none"
"gratis game cs go bawa modus battle royale","560","none"
"apple watch series hadir fitur monitor detak jantung","561","opportunity"
"lenovo kenal laptop baru yoga c yoga s","562","none"
"epic developer game fortnite buka store resmi","563","threat"
"rilis rusia harga zenfone max pro m","564","opportunity"
"daftar ponsel gaming baik","565","opportunity"
"perangkat seluler fesyen bakal jadi incar harbolnas","566","threat"
"bawa bibit kentang china luncur wahana darat bulan","567","none"
"google tambah fitur smart reply hangouts chat","568","opportunity"
"apple rilis alat lacak gera tubuh guna tidur","569","opportunity"
"god of war nobat jadi game baik","570","opportunity"
"facebook hadir fitur live shopping","571","opportunity"
"nasa insight tangkap suara angin pertama kali mars","572","opportunity"
"andrew white nana mirdad tips jaga harmonis rumah tangga","573","none"
"sering dengar musik pakai earphone tidur bahaya","574","threat"
"luluh hati gebetan ajak pergi tempat wisata","575","none"
"kenal tanda hiv sering abai","576","none"
"hunting foto malam hari spot instagenik paling recommended","577","opportunity"
"taman wisata burung jadi destinasi kini","578","none"
"mau lihat lebih ramping foto simak tips fotografer langgan artis era bachir","579","opportunity"
"libur dubai yuk intip beach club bisa kamu kunjung","580","none"
"tak kalah manusia hewan jaga anak penuh dedikasi","581","none"
"libur musim dingin yuk kunjung festival cahaya besar d","582","none"
"viral bocah sd tahan tangis nyanyi lagu blackpink suntik","583","none"
"alis tampak natural nikita willy jajal tren sulam alis","584","none"
"casing ponsel simpan bakteri hampir kali lebih banyak duduk toilet","585","threat"
"alergi cat rambut kepala wanita besar kali lipat","586","none"
"rencana naik kapal pesiar pertama kali tahu ini dulu","587","none"
"travel blogger kenny santana ungkap penting asuransi lancong luar negeri","588","none"
"perlu jasa fotografi traveling","589","threat"
"cara cerdas milenial manfaat promo libur akhir tahun","590","none"
"bocah tahun jadi youtuber kaya dunia dari ulas main","591","opportunity"
"pakai gaun pink sama lebih kece beyonce deepika padukone","592","none"
"jennie blackpink si fashion diva cinta chanel sejati","593","none"
"atas anak sembelit oles minyak kayu putih mitos fakta","594","none"
"rutin olahraga usaha denda karyawan malas jalan","595","none"
"jangan bisul makin parah obat alami di rumah","596","none"
"milenial klaim bunuh industri tuna kaleng alas","597","none"
"karantina miss world china alya nurshabrina sempat ingat ulang tahun sang ayah","598","none"
"bijak jadi kunci kemenpar tarik kunjung wisman","599","opportunity"
"tahun sahabat kunci awet ala enda-oncy ungu","600","none"
"kenal sleep texting ganggu tidur buat kirim pesan sadar","601","threat"
"alas tetap begadang meski tahu dampak buruk","602","none"
"pasang candu nonton film porno coba langkah terapi ikut","603","none"
"toilet training nyata kait hasrat seksual anak","604","none"
"jerawat komedo bandel atas kentang","605","none"
"judas priest manggung jakarta tiga aksesori wajib khas atas panggung","606","none"
"nekat olahraga berat padahal jarang gerak yang bakal jadi tubuh","607","none"
"kali jadi lokasi malam final miss world obyek wisata tarik sanya china","608","none"
"jawab hantar vanessa ponce de leon sukses jadi miss world","609","none"
"riah final miss world dimash sister sledge tampil serba hitam","610","none"
"tahun baru olahraga bintan kasmarun","611","none"
