"id_training_data";"id_berita";"id_topik";"berita";"training_class"
"368";"480";"6";"tempat akan jadi destinasi wisata arsitektur banyuwangi";"Opportunity"
"369";"481";"3";"reuni datang stasiun gondangdia";"Opportunity"
"370";"482";"3";"ribu reuni padat stasiun bogor malam";"Opportunity"
"372";"484";"3";"antisipasi antre tumpang reuni kci tambah tugas loket stasiun";"Opportunity"
"374";"486";"3";"stasiun gondangdia juanda lengang pasca-aksi reuni";"Opportunity"
"393";"505";"3";"bicara forum internasional hary tanoe sektor properti pariwisata dukung";"Opportunity"
"397";"509";"3";"intip seru selfie alat perang tni ad lapang jenderal soedirman";"Opportunity"
"400";"512";"3";"ratus ribu jemaat hadir acara natal gbk aparat gabung terjun";"Opportunity"
"402";"514";"3";"ekspor anak ayam timor leste terus tingkat";"Opportunity"
"403";"515";"4";"google doodle tampil pahlawan perempuan indonesia asal minahasa maria walanda maramis";"Opportunity"
"406";"518";"4";"iphone xs xs max xr bakal masuk indonesia";"Opportunity"
"407";"519";"4";"windows bakal mati fitur anti sadap suara";"Opportunity"
"409";"521";"4";"galaxy fold jadi nama ponsel lipat samsung";"Opportunity"
"411";"523";"4";"ini wujud mobile led screen pertama indonesia";"Opportunity"
"412";"524";"4";"ponsel ram hingga gb";"Opportunity"
"417";"529";"4";"adopsi apple ios lebih cepat ketimbang ios";"Opportunity"
"423";"535";"4";"saing samsung sony bikin ponsel lipat layar transparan";"Opportunity"
"425";"537";"4";"google search mudah cari lowong kerja";"Opportunity"
"426";"538";"4";"google hadir ponsel rp ribu wizphone fiturnya";"Opportunity"
"427";"539";"4";"youtuber usia tahun milik hasil rp miliar";"Opportunity"
"428";"540";"4";"asus rog phone siap luncur desember spesifikasi";"Opportunity"
"429";"541";"4";"asisten google luncur ponsel murah wizphone";"Opportunity"
"430";"542";"4";"google beri latih juta ukm hingga";"Opportunity"
"433";"545";"4";"rilis desember bocor zenfone max pro m";"Opportunity"
"434";"546";"4";"snapdragon deret teknologi pamer qualcomm";"Opportunity"
"435";"547";"4";"tips charging ponsel awet";"Opportunity"
"437";"549";"4";"xperia xz jadi ponsel pertama cicip snapdragon";"Opportunity"
"438";"550";"4";"jaring g lahir transisi teknologi besar tantang";"Opportunity"
"439";"551";"4";"cara pubg mobile lancar main ponsel";"Opportunity"
"440";"552";"4";"update fortnite tambah kendara senjata custom";"Opportunity"
"442";"554";"4";"spesifikasi asus rog zephyrus s desain tipis";"Opportunity"
"444";"556";"4";"oneplus baru bakal dukung g snapdragon";"Opportunity"
"445";"557";"4";"baru punya smartphone android hal perlu perhati";"Opportunity"
"446";"558";"4";"desember ici apstv siap gelar idcon";"Opportunity"
"449";"561";"4";"apple watch series hadir fitur monitor detak jantung";"Opportunity"
"452";"564";"4";"rilis rusia harga zenfone max pro m";"Opportunity"
"453";"565";"4";"daftar ponsel gaming baik";"Opportunity"
"456";"568";"4";"google tambah fitur smart reply hangouts chat";"Opportunity"
"457";"569";"4";"apple rilis alat lacak gera tubuh guna tidur";"Opportunity"
"458";"570";"4";"god of war nobat jadi game baik";"Opportunity"
"459";"571";"4";"facebook hadir fitur live shopping";"Opportunity"
"460";"572";"4";"nasa insight tangkap suara angin pertama kali mars";"Opportunity"
"465";"577";"6";"hunting foto malam hari spot instagenik paling recommended";"Opportunity"
"467";"579";"6";"mau lihat lebih ramping foto simak tips fotografer langgan artis era bachir";"Opportunity"
"479";"591";"6";"bocah tahun jadi youtuber kaya dunia dari ulas main";"Opportunity"
"487";"599";"6";"bijak jadi kunci kemenpar tarik kunjung wisman";"Opportunity"
"500";"612";"6";"pariwisata majalengka siap terbang lebih tinggi kemas beda";"Opportunity"
"507";"619";"2";"jokowi tahun depan bandara sukabumi mulai bangun";"Opportunity"
"508";"620";"2";"geser apple microsoft jadi usaha paling nila dunia";"Opportunity"
"509";"621";"2";"jual sepeda motor operasional usaha jateng tingkat";"Opportunity"
"519";"631";"2";"survei laku bisnis harap bangun infrastruktur lokal realisasi";"Opportunity"
"520";"632";"2";"reuni tumpang krl lonjak";"Opportunity"
"524";"636";"2";"reuni aksi pola operasi berangkat ka rekayasa";"Opportunity"
"536";"648";"2";"rupiah terus perkasa";"Opportunity"
"537";"649";"2";"temu imf-bank dunia jumlah wisman oktober justru turun";"Opportunity"
"538";"650";"2";"pt kai terjun personel aman angkut natal tahun baru";"Opportunity"
"542";"654";"2";"sentimen eksternal topang kuat rupiah hari";"Opportunity"
"549";"661";"2";"bayar e-commerce naik transaksi kartu kredit tumbuh persen";"Opportunity"
"550";"662";"2";"kredivo sesuai produk pinjam butuh millenial";"Opportunity"
"551";"663";"2";"bank commonwealth luncur kartu debit platinum world";"Opportunity"
"552";"664";"2";"ini jadi daya tarik orang indonesia belanja online";"Opportunity"
"555";"667";"2";"lewat pinjam tunai kredivo bidik millenial";"Opportunity"
"560";"672";"2";"bank mandiri kejar persen dari transaksi harbolnas";"Opportunity"
"561";"673";"2";"kurang tahun dana izin bi";"Opportunity"
"562";"674";"2";"harbolnas gelar hari satu hari khusus produk lokal";"Opportunity"
"568";"680";"2";"harbolnas target raih jumlah transaksi rp triliun";"Opportunity"
"573";"685";"2";"kolaborasi universitas industri kembang sektor uang";"Opportunity"
"574";"686";"2";"mendag tetap daerah tepat ukur daftar";"Opportunity"
"576";"688";"2";"genjot tumbuh ekonomi jakarta bidik ekonomi kreatif pariwisata";"Opportunity"
"577";"689";"2";"bi november optimisme konsumen tingkat";"Opportunity"
"582";"694";"2";"amartha salur rp miliar biaya usaha";"Opportunity"
"587";"699";"2";"mudah transaksi amartha optimal proses tanda tangan digital";"Opportunity"
"588";"700";"2";"bisnis tetap tumbuh tahun politik bidik millenial";"Opportunity"
"602";"714";"2";"pasarpolis hadir asuransi mikro skema unik klaim mudah";"Opportunity"
"607";"719";"2";"milenial jadi investor dominan tawar st-";"Opportunity"
"625";"737";"3";"wisuda xiv umn jawab tantang era industri";"Opportunity"
"631";"743";"3";"sandiaga kamar hotel seluruh laku berkat acara reuni";"Opportunity"
"636";"748";"3";"rieke september lalu jokowi angkat tenaga sehat jadi pns";"Opportunity"
"644";"756";"3";"anies massa reuni mungkin lebih banyak tahun baru sampah lebih sedikit";"Opportunity"
"659";"771";"3";"sambut hari antikorupsi kpk gelar konferensi berantas korupsi";"Opportunity"
"660";"772";"3";"kongres budaya siap gelar rabu pekan";"Opportunity"
"666";"778";"3";"dialog masyarakat desa sandiaga janji bangun infrastruktur";"Opportunity"
"671";"783";"3";"naik tarif kurang parkir anies warga alih transportasi umum";"Opportunity"
"676";"788";"3";"politeknik siap jadi motor era industri";"Opportunity"
"682";"794";"3";"banyak pemda jawa tengah sepakat transaksi non-tunai";"Opportunity"
"704";"816";"3";"ma ruf amin bangun infrastruktur papua tak henti";"Opportunity"
"720";"832";"3";"surabaya raih harga online popular city guangzhou international award";"Opportunity"
"724";"836";"3";"jalan tol baru kemudi minta euforia lebih";"Opportunity"
"742";"854";"3";"gubernur dki anies baswedan hingga menaker hanif sambut kompasianival";"Opportunity"
"743";"855";"3";"kini tim gerak pkk gratis naik transjakarta";"Opportunity"
"747";"859";"4";"begini cara hapus program jahat android";"Opportunity"
"751";"863";"4";"mediatek sesumbar chip hio p bakal ikan terobos ai";"Opportunity"
"753";"865";"4";"rupilah aplikasi buang sampah jadi rupiah buat mahasiswa semarang";"Opportunity"
"755";"867";"4";"fitur close friends instagram stories kini pakai semua";"Opportunity"
"756";"868";"4";"prediksi jadwal rilis fitur apple airpods ikut";"Opportunity"
"757";"869";"4";"galaxy as layar infinity-o masuk sertifikasi";"Opportunity"
"761";"873";"4";"jelang harbolnas xiaomi diskon harga redmi redmi s";"Opportunity"
"763";"875";"4";"tiga operator korea selatan serentak luncur jaring g";"Opportunity"
"766";"878";"4";"samsung tahu promosi galaxy note pakai iphone";"Opportunity"
"767";"879";"4";"ponsel wizphone os google jual alfamart rp";"Opportunity"
"768";"880";"4";"game command conquer rivals resmi rilis android ios";"Opportunity"
"769";"881";"4";"tulis tangan steve jobs lelang rp juta";"Opportunity"
"770";"882";"4";"ponsel layar vivo nex nongol video";"Opportunity"
"774";"886";"4";"sony bikin ponsel lipat layar tembus pandang";"Opportunity"
"775";"887";"4";"sharebuy konsep belanja online keroyokan jd id harbolnas";"Opportunity"
"776";"888";"4";"office ikon windows akan rombak";"Opportunity"
"778";"890";"4";"janji hapus konten porno tumblr bakal akses indonesia";"Opportunity"
"779";"891";"4";"twitter lite klaim dongkrak jumlah di indonesia";"Opportunity"
"785";"897";"4";"spesifikasi asus zenfone max m max pro m";"Opportunity"
"787";"899";"4";"bocor dokumen ungkap nama ponsel layar lipat samsung";"Opportunity"
"788";"900";"4";"google go aplikasi cari ringan irit internet";"Opportunity"
"789";"901";"4";"tumblr akhir blokir konten pornografi mulai desember";"Opportunity"
"790";"902";"4";"begini cara google dukung ekonomi digital indonesia";"Opportunity"
"791";"903";"4";"google rilis fitur cari lowong kerja";"Opportunity"
"793";"905";"4";"bose bikin kacamata pintar fitur audio ar";"Opportunity"
"794";"906";"4";"google baik masalah foto tak simpan android pixel";"Opportunity"
"795";"907";"4";"snapdragon teknologi g apa";"Opportunity"
"796";"908";"4";"pocophone f kini rekam video slow motion lebih halus";"Opportunity"
"799";"911";"4";"nokia resmi luncur harga rp juta";"Opportunity"
"801";"913";"4";"youtube android tembus miliar unduh";"Opportunity"
"802";"914";"4";"whatsapp mulai sebar tablet android";"Opportunity"
"803";"915";"4";"iphone g baru hadir";"Opportunity"
"804";"916";"4";"apa lebih dana banding aplikasi dompet digital";"Opportunity"
"806";"918";"4";"samsung paten smartwatch pindai sidik jari layar";"Opportunity"
"808";"920";"4";"tahun huawei lengser samsung";"Opportunity"
"813";"925";"4";"harga oppo a indonesia turun jelang harbolnas";"Opportunity"
"814";"926";"4";"xiaomi unggul apple berkat mi band";"Opportunity"
"816";"928";"4";"xiaomi siap ponsel kamera megapiksel luncur januari";"Opportunity"
"820";"932";"4";"harga resmi iphone xr xs xs max indonesia";"Opportunity"
"821";"933";"4";"samsung turun apple stagnan vendor smartphone china tanjak";"Opportunity"
"823";"935";"4";"pandora gelar rekomendasi podcast android ios";"Opportunity"
"825";"937";"4";"hp luncur jajar printer laptop laku ukm";"Opportunity"
"836";"948";"2";"data dagang pasar saham positif";"Opportunity"
"842";"954";"2";"rupiah angkat kerja sama pemerintah-bi-swasta";"Opportunity"
"847";"959";"2";"tips belanja online buat generasi milenial";"Opportunity"
"849";"961";"2";"danamart siap layan ukm umkm";"Opportunity"
"852";"964";"2";"selesai tol bocimi kabar baik logistik nasional";"Opportunity"
"856";"968";"2";"laku usaha libat bahas regulasi";"Opportunity"
"871";"983";"2";"bekraf dorong startup lantai bursa";"Opportunity"
"872";"984";"2";"rupiah makin kokoh";"Opportunity"
"875";"987";"2";"ojk tumbuh kredit tembus akhir";"Opportunity"
"881";"993";"2";"bi optimistis relaksasi gwm genjot salur kredit";"Opportunity"
"883";"995";"2";"kunjung wisman indonesia oktober capai juta";"Opportunity"
"894";"1006";"2";"sasar milenial kredivo luncur pinjam tunai";"Opportunity"
"895";"1007";"2";"ekonomi batam target tumbuh";"Opportunity"
"898";"1010";"2";"kredivo timbang ekspansi asean";"Opportunity"
"899";"1011";"2";"investasi rp triliun lahan tak pakai batam";"Opportunity"
"906";"1018";"2";"rupiah ke level rp usd";"Opportunity"
"909";"1021";"2";"ojk banyak masyarakat tak paham substansi koperasi";"Opportunity"
"917";"1029";"2";"luhut hadap revolusi industri mindset ubah";"Opportunity"
"921";"1033";"2";"pemprov peluang milik hak kelola lebih blok rok";"Opportunity"
"924";"1036";"2";"genjot ekspor pangsa pasar jelas";"Opportunity"
"925";"1037";"2";"tumbuh ekonomi capai target";"Opportunity"
"928";"1040";"2";"tips aman belanja harbolnas";"Opportunity"
"929";"1041";"2";"indonesia fokus peluang janji dagang";"Opportunity"
"939";"1051";"2";"rupiah ke level rp usd";"Opportunity"
"940";"1052";"2";"transaksi harbolnas target hingga rp triliun";"Opportunity"
"945";"1057";"2";"dampak positif ketidakpastian ekonomi as";"Opportunity"
"948";"1060";"2";"produk lokal siap banjir harbolnas";"Opportunity"
"951";"1063";"2";"bank mandiri ambil momentum harbolnas";"Opportunity"
"955";"1067";"2";"maju ritel tradisional cara digital";"Opportunity"
"964";"1076";"2";"optimisme konsumen tingkat";"Opportunity"
"966";"1078";"2";"bank danamon prediksi tumbuh ekonomi";"Opportunity"
"969";"1081";"2";"laku industri optimistis lihat peluang tahun politik";"Opportunity"
"974";"1086";"2";"ajar potensi kerja sama ekonomi afsel-indonesia";"Opportunity"
"975";"1087";"2";"industri manufaktur siap jadi sumber utama tumbuh ekonomi";"Opportunity"
"993";"1105";"2";"terima negara picu naik peringkat indonesia";"Opportunity"
"994";"1106";"2";"kolaborasi perban startup";"Opportunity"
"995";"1107";"2";"ekonomi indonesia on the track";"Opportunity"
"1002";"1114";"2";"sdm jadi kunci transformasi ekonomi indonesia";"Opportunity"
"1003";"1115";"2";"darmin optimistis rupiah tetap kuat hingga akhir tahun";"Opportunity"
"1006";"1118";"2";"bei stigma minat investor turun tahun milu salah";"Opportunity"
"1011";"1123";"2";"perintah optimistis salur kur tembus rp triliun";"Opportunity"
"1012";"1124";"2";"usaha ukm ajak lepas saham pasar modal";"Opportunity"
"1028";"1140";"2";"allianz latih tani saing era digital";"Opportunity"
"1030";"1142";"2";"dolar as hilang tenaga";"Opportunity"
"1032";"1144";"2";"menkeu sentimen positif dorong naik cadang devisa";"Opportunity"
"1039";"1151";"4";"spotify uji ubah antarmuka baru";"Opportunity"
"1040";"1152";"4";"aplikasi media sosial bikin remaja percaya diri";"Opportunity"
"1041";"1153";"4";"google batas akses karyawan proyek dragonfly";"Opportunity"
"1044";"1156";"4";"huawei mate siap rilis indonesia";"Opportunity"
"1051";"1163";"4";"airpods charger nirkabel rilis q";"Opportunity"
"1052";"1164";"4";"samsung galaxy s plus bekal kamera depan ganda";"Opportunity"
"1057";"1169";"4";"ponsel lipat microsoft luncur";"Opportunity"
"1062";"1174";"4";"apple music beta mulai dukung tablet android";"Opportunity"
"1064";"1176";"4";"wearable jadi alat medis";"Opportunity"
"1065";"1177";"4";"vainglory bakal dukung cross-platform";"Opportunity"
"1066";"1178";"4";"kelola jaring bisnis lebih gampang pakai netgear insight";"Opportunity"
"1067";"1179";"4";"ponsel rp ribu google pasar indonesia";"Opportunity"
"1068";"1180";"4";"bina startup tahap lanjut jadi tema gsi scale con";"Opportunity"
"1069";"1181";"4";"lg boyong monitor k pertama indonesia";"Opportunity"
"1070";"1182";"4";"cara google bantu masyarakat era ekonomi digital";"Opportunity"
"1071";"1183";"4";"xiaomi redmi note pro warna lebih keren harga tarik";"Opportunity"
"1072";"1184";"4";"google ajak gotong royong maju indonesia";"Opportunity"
"1073";"1185";"4";"serang siber lambat transformasi digital asia pasifik";"Opportunity"
"1074";"1186";"4";"zebra technologies bawa komputasi mobile enterprise layar sentuh";"Opportunity"
"1075";"1187";"4";"g jadi fokus qualcomm tech summit";"Opportunity"
"1076";"1188";"4";"samsung galaxy as huawei nova siap muncul";"Opportunity"
"1077";"1189";"4";"google photos dukung mode backup express";"Opportunity"
"1080";"1192";"4";"huawei pamer emui pakai android pie";"Opportunity"
"1081";"1193";"4";"ponsel android g muncul";"Opportunity"
"1082";"1194";"4";"g siap rilis negara kembang tahun depan";"Opportunity"
"1084";"1196";"4";"samsung rilis ponsel g pertama tahun depan";"Opportunity"
"1086";"1198";"4";"jam tangan pintar xiaomi salip apple";"Opportunity"
"1087";"1199";"4";"sprint gandeng samsung garap ponsel g";"Opportunity"
"1095";"1207";"4";"qualcomm rilis snapdragon";"Opportunity"
"1096";"1208";"4";"snapdragon punya fitur d sonic sensor";"Opportunity"
"1100";"1212";"4";"perangkat baru hp wujud dukung ukm";"Opportunity"
"1108";"1220";"4";"youtube android pasang lebih miliar kali";"Opportunity"
"1110";"1222";"4";"whatsapp android mulai jajal tablet";"Opportunity"
"1111";"1223";"4";"apple resmi rilis sasis iphone xr";"Opportunity"
"1113";"1225";"4";"oneplus jadi pertama adopsi snapdragon";"Opportunity"
"1114";"1226";"4";"realme c main baru kelas smartphone rp juta";"Opportunity"
"1125";"1237";"4";"ponsel lipat generasi z candu ponsel";"Opportunity"
"1127";"1239";"4";"ponsel premium tahun depan rekam video hdr k";"Opportunity"
"1131";"1243";"4";"huawei ikut ramai harbolnas";"Opportunity"
"1149";"1333";"1";"emak-emak kerah jadi jubir prabowo-sandi";"Opportunity"
"1186";"1370";"1";"ingat ulang tahun hanura santun ribu anak yatim";"Opportunity"
"1192";"1376";"2";"menteri esdm swat kolaborasi gelar energi expo";"Opportunity"
"1197";"1381";"2";"luhut samsung tarik bangun pabrik indonesia";"Opportunity"
"1230";"1414";"2";"genjot ekonomi kalteng pln operasi gardu induk pangkal bun";"Opportunity"
"1232";"1416";"2";"cloud computing cipta akses sama hadap teknologi";"Opportunity"
"1241";"1425";"2";"ekonom perintah geser revolusi sdm inovasi teknologi";"Opportunity"
"1242";"1426";"2";"menteri pupr bangun jembatan pulih lalu lintas padang-bukittinggi";"Opportunity"
"1266";"1450";"3";"kemenag ajak masyarakat jadi pelopor rukun";"Opportunity"
"1278";"1462";"3";"generasi muda siap hadap revolusi industri";"Opportunity"
"1291";"1475";"3";"misa natal katedral jakarta padat ribu jemaat";"Opportunity"
"1293";"1477";"3";"panglima tni jamin raya natal aman";"Opportunity"
"1294";"1478";"3";"terjun busana sinterklas tni-polri pecah rekor muri";"Opportunity"
"1295";"1479";"3";"pemprov dki harap ribu umat kristiani hadir natal sama";"Opportunity"
"1298";"1482";"3";"kapolri panglima tni tinjau aman tiga gereja jakpus";"Opportunity"
"1300";"1484";"3";"aman natal ibu kota jalan baik";"Opportunity"
"1374";"1558";"1";"bpn prabowo-sandi indonesia punya ekspor andal";"Opportunity"
"1375";"1559";"1";"bima arya apresiasi bijak infrastruktur jokowi";"Opportunity"
"1376";"1560";"1";"bpn prabowo-sandi aku terima negara lebih target";"Opportunity"
"1410";"1594";"1";"milenial tantang kembang industri pop kultur indonesia";"Opportunity"
"1422";"1606";"1";"erick mimpi indonesia jadi tuan rumah olimpiade";"Opportunity"
"1433";"1617";"3";"alumni ui bangun sekolah tahan gempa lombok";"Opportunity"
"1434";"1618";"3";"jokowi ribu sertifikat tanah jakut";"Opportunity"
"1452";"1636";"3";"alumni ui bangun sekolah tahan gempa lombok";"Opportunity"
"1453";"1637";"3";"jokowi ribu sertifikat tanah jakut";"Opportunity"
"1471";"1655";"3";"alumni ui bangun sekolah tahan gempa lombok";"Opportunity"
"1472";"1656";"3";"jokowi ribu sertifikat tanah jakut";"Opportunity"
"1546";"1730";"6";"bangun bendung paselloreng harap selesai";"Opportunity"
"1547";"1731";"6";"butuh sinergi perintah pusat daerah sukses unbk siak";"Opportunity"
"1559";"1743";"6";"wapres resmi gerai pmi manado";"Opportunity"
"1565";"1749";"6";"bangun bendung paselloreng harap selesai";"Opportunity"
"1566";"1750";"6";"butuh sinergi perintah pusat daerah sukses unbk siak";"Opportunity"
"1578";"1762";"6";"wapres resmi gerai pmi manado";"Opportunity"
"1584";"1768";"6";"bangun bendung paselloreng harap selesai";"Opportunity"
"1585";"1769";"6";"butuh sinergi perintah pusat daerah sukses unbk siak";"Opportunity"
"1597";"1781";"6";"wapres resmi gerai pmi manado";"Opportunity"
"2";"2";"4";"usaha tarung tawar misi bulan";"Threat"
