@relation training_politik

@attribute id_training_data numeric
@attribute term string
@attribute training_class {Opportunity,Threat,None}

@data
1173,'noer fajrieansyah nilai punya kapasitas satu knpi',None
1174,'perintah tegas sikap keras xinjiang',None
1175,'sby prabowo temu fahri hamzah perang total',None
1176,'golkar dki mulai sosialisasi rambu milu kader',None
1177,'kritikus lereng rapi aura menang prabowo kian asa',None
1178,'kpk lari maraton telusur uang asi games',None
1179,'kader nasdem usir kawal surya paloh jember',None
1180,'puji yenny wahid jokowi lewat matang gosong',None
1181,'pks minta gerindra gencar kenal calon wagub dki',None
1182,'prabowo lama pimpin sby indonesia ada gejolak',None
1183,'cegah curang milu bpn lantik satgas ibukota',None
1184,'sby khawatir jadi curang milu',None
1185,'sby minta prabowo kampanye hingga pelosok daerah jelas visi misi',None
1187,'sby kami jangan ganggu',None
1188,'benar amerika menang suriah',None
1189,'prabowo tidak pernah ragu komitmen pak sby',None
1190,'pesan sby prabowo usai rapat koalisi',None
1191,'pdip insiden potong nisan salib tak perlu besar',None
1372,'surya paloh tak masalah tgb gabung golkar',None
1373,'delegasi uni eropa sambang nasdem',None
1377,'debat capres kerah massa',None
1378,'agung yulianto klaim cocok jadi damping anies',None
1379,'isu poligami tarik simpati perempuan',None
1380,'semua tokoh politik tiru',None
1381,'narasi indonesia punah peluru kosong',None
1382,'luhut jangan asal ngomong indonesia punah',None
1383,'demokrat tuding institusi siluman',None
1384,'demokrat kecam nyata wiranto kait rusa baliho',None
1385,'psi poligami daya perempuan',None
1386,'akhir desember uu pesantren bawa dpr',None
1387,'megawati hari ibu momentum gera politik perempuan',None
1388,'keluarga benteng depan cegah penyalahgunaan narkoba',None
1389,'bawaslu polri selidik rusa atribut demokrat',None
1390,'wiranto nyata prabowo ancam serius',None
1391,'perintah nilai upaya sejahtera prajurit',None
1392,'naik tunjang babinsa tak pengaruh suara jokowi',None
1393,'jokowi beda indonesia anugerah',None
1394,'demokrat gelar rapat darurat rumah sby',None
1395,'surya paloh sowan ulama jember',None
1396,'nasihat fraksi gerindra dprd dki tinggal',None
1397,'kemendagri luncur layan daring',None
1398,'daulat buah',None
1399,'rumah gera tolak orde baru',None
1400,'reklame raksasa raib psi ambil langkah hukum',None
1401,'presiden jokowi ikan naik tunjang babinsa',None
1402,'nyata grace natalie soal poligami',None
1403,'tgb resmi gabung nasdem',None
1404,'surya paloh swasembada bawang putih',None
1405,'andi arief laku rusa aku suruh pdip',None
1406,'bawaslu minta usut dalang usak atribut demokrat',None
1407,'psi yakin isu poligami tak ganggu jokowi',None
1408,'psi sebut partai perempuan',None
1409,'gerindra minta psi ribut prostitusi ketimbang poligami',None
1411,'tgb tegas komitmen nahdlatul wathan rawat nkri',None
1412,'santri minta jadi juru terang islam',None
1413,'surya paloh beri kuliah bangsa ponpes nahdlatul wathan',None
1414,'nasdem usul tokoh muda bagai wagub dki',None
1415,'surya paloh ingat penting nilai pancasila',None
1416,'survei mayoritas warga tolak perda agama',None
1417,'perintah minta tindak tegas kkb papua',None
1418,'surya paloh ingat penting siap generasi terus',None
1419,'presiden janji cepat bahas ruu pesantren',None
1420,'surya paloh beri kuliah umum bangsa lombok',None
1421,'kerja dpr ajaib',None
1423,'jokowi heran marak umpat kasar',None
1424,'perintah minta timbang usul operasi militer papua',None
1425,'kalla kes sederhana jokowi',None
1426,'putus mk kabul uji materi uu kawin apresiasi',None
1427,'indonesia tegas komitmen terap janji paris',None
1428,'perempuan muhammadiyah dukung larang poligami',None
