@relation training_environment

@attribute id_training_data numeric
@attribute term string
@attribute training_class {Opportunity,Threat,None}

@data
286,'polisi bantah mahasiswa papua hilang fakta',None
287,'polisi pulang mahasiswa papua tidak kuliah surabaya',None
289,'cekam asrama mahasiswa papua surabaya kepung ormas',None
290,'orang remaja tenggelam waduk sempor',None
291,'rekam cctv ungkap laku bunuh perempuan boyolali',None
292,'bayi bulan pingsan kali km gerbang samudra i bakar',None
293,'tanggap sandiaga kait dukung partai bulan bintang',None
294,'buya syafii angkat bicara soal kasus habib bahar',None
295,'sosok cak nanto mata buya syafii',None
296,'buya syafii muktamar pemuda muhammadiyah tak intervensi',None
299,'emil dardak restu adik nyaleg',None
302,'komplot buat dokumen palsu tarif juta rupiah ringkus',None
303,'selawat maman imanulhaq ajak massa istigasah acung jari satu',None
304,'kerap aniaya ibu kandung pria temu tewas kebun pisang',None
306,'jenazah bos batik keris tiba solo pesawat carter',None
310,'pesan ma ruf amin massa istigasah garut',None
311,'solusi gubernur soekarwo redam konflik mahasiswa papua',None
314,'caleg gerindra tahan kejar brebes kasus gelap',None
315,'kasus cabul santri mojokerto ganjal laku mangkir',None
316,'nyata motif fajar habis nyawa perkosa kasir boyolali',None
318,'polisi serius usut alir sesat pimpin sensen komara',None
319,'putri ma ruf amin soal istigasah garut bukan politik murni doa',None
320,'mui polisi warga garut buat surat sensen rasul allah',None
322,'polda jabar selidik kasus begal tewas awat neng',None
326,'viral video biker pukul spion mobil hingga patah lembang',None
329,'sandiaga didapuk jadi keluarga ponpes sunan drajat hormat',None
330,'edar sabu sergap tol rupa jaring lapas',None
331,'cerita korban curi motor temu polres indramayu',None
332,'polisi aman kosmetik ilegal endorse artis indonesia',None
333,'sosok handianto tjokrosaputro bos batik keris tutup usia',None
334,'kades kampanye sandiaga bakal sidang maraton',None
338,'kpk periksa jabat perum jasa tirta mapolres purwakarta',None
339,'polres cirebon tangkap bunuh atun',None
340,'wawan suap kalapas sukamiskin buat ngamar sampai sekarang',None
341,'nelayan karawang tanam mangrove langka pantai pasir putih',None
342,'tiga tahun resmi pasar keren sarijadi sepi melompong',None
343,'sensen komara sebut ikut sosok rasul',None
345,'asuh ponpes bantah cabul santri keluarga korban tuntut',None
347,'mobil sedan bakar simpang tiga taman pelangi tumpang shock',None
350,'begini situasi tunagrahita simulasi coblos ponorogo',None
351,'terima suap napi lapas sukamiskin wahid khilaf',None
352,'kades kampanye sandiaga lolos sanksi henti',None
353,'berkat nama waspada syukur ketemu jodoh',None
354,'pohon tumbang timpa mobil jember kemudi luka ringan',None
355,'mas kanjeng vonis nihil jaksa aju banding',None
356,'ungkap fuad amin pura rs padahal rumah mewah dago',None
358,'kppu awas industri jasa uang tambang',None
363,'alir sesat sensen komara bikin resah warga garut',None
364,'polisi kawal pesta tahun baru cirebon',None
365,'nenek tewas timbun longsor sukabumi',None
461,'andrew white nana mirdad tips jaga harmonis rumah tangga',None
463,'luluh hati gebetan ajak pergi tempat wisata',None
464,'kenal tanda hiv sering abai',None
466,'taman wisata burung jadi destinasi kini',None
468,'libur dubai yuk intip beach club bisa kamu kunjung',None
469,'tak kalah manusia hewan jaga anak penuh dedikasi',None
470,'libur musim dingin yuk kunjung festival cahaya besar d',None
471,'viral bocah sd tahan tangis nyanyi lagu blackpink suntik',None
472,'alis tampak natural nikita willy jajal tren sulam alis',None
474,'alergi cat rambut kepala wanita besar kali lipat',None
475,'rencana naik kapal pesiar pertama kali tahu ini dulu',None
476,'travel blogger kenny santana ungkap penting asuransi lancong luar negeri',None
478,'cara cerdas milenial manfaat promo libur akhir tahun',None
480,'pakai gaun pink sama lebih kece beyonce deepika padukone',None
481,'jennie blackpink si fashion diva cinta chanel sejati',None
482,'atas anak sembelit oles minyak kayu putih mitos fakta',None
483,'rutin olahraga usaha denda karyawan malas jalan',None
484,'jangan bisul makin parah obat alami di rumah',None
485,'milenial klaim bunuh industri tuna kaleng alas',None
486,'karantina miss world china alya nurshabrina sempat ingat ulang tahun sang ayah',None
488,'tahun sahabat kunci awet ala enda-oncy ungu',None
490,'alas tetap begadang meski tahu dampak buruk',None
491,'pasang candu nonton film porno coba langkah terapi ikut',None
492,'toilet training nyata kait hasrat seksual anak',None
493,'jerawat komedo bandel atas kentang',None
494,'judas priest manggung jakarta tiga aksesori wajib khas atas panggung',None
495,'nekat olahraga berat padahal jarang gerak yang bakal jadi tubuh',None
496,'kali jadi lokasi malam final miss world obyek wisata tarik sanya china',None
497,'jawab hantar vanessa ponce de leon sukses jadi miss world',None
498,'riah final miss world dimash sister sledge tampil serba hitam',None
499,'tahun baru olahraga bintan kasmarun',None
1543,'bahan baku sabu rp m musnah',None
1549,'susun apbdes kerap standar ganda',None
1550,'bpom kepri tarik tiga produk sarden duga kandung cacing',None
1551,'labuh sulut jadi jalur selundup',None
1552,'syahrul yasin limpo gabung nasdem',None
1553,'ap ii kick andy foundation kaki palsu tangerang',None
1554,'hari matahari tepat atas kepala',None
1555,'kendara bupati abdul latif simpan rupbasan tangerang',None
1556,'polda sulsel enggan gegabah usut kasus abu tours',None
1557,'limbah jagung sumbawa lirik negara',None
1558,'sumur resap bantu pulih sumber mata air senjoyo',None
1560,'sumbawa target produksi jagung juta ton',None
1561,'kg bombai nigeria cegah masuk indonesia',None
1562,'bahan baku sabu rp m musnah',None
1568,'susun apbdes kerap standar ganda',None
1569,'bpom kepri tarik tiga produk sarden duga kandung cacing',None
1570,'labuh sulut jadi jalur selundup',None
1571,'syahrul yasin limpo gabung nasdem',None
1572,'ap ii kick andy foundation kaki palsu tangerang',None
1573,'hari matahari tepat atas kepala',None
1574,'kendara bupati abdul latif simpan rupbasan tangerang',None
1575,'polda sulsel enggan gegabah usut kasus abu tours',None
1576,'limbah jagung sumbawa lirik negara',None
1577,'sumur resap bantu pulih sumber mata air senjoyo',None
1579,'sumbawa target produksi jagung juta ton',None
1580,'kg bombai nigeria cegah masuk indonesia',None
1581,'bahan baku sabu rp m musnah',None
1587,'susun apbdes kerap standar ganda',None
1588,'bpom kepri tarik tiga produk sarden duga kandung cacing',None
1589,'labuh sulut jadi jalur selundup',None
1590,'syahrul yasin limpo gabung nasdem',None
1591,'ap ii kick andy foundation kaki palsu tangerang',None
1592,'hari matahari tepat atas kepala',None
1593,'kendara bupati abdul latif simpan rupbasan tangerang',None
1594,'polda sulsel enggan gegabah usut kasus abu tours',None
1595,'limbah jagung sumbawa lirik negara',None
1596,'sumur resap bantu pulih sumber mata air senjoyo',None
1598,'sumbawa target produksi jagung juta ton',None
1599,'kg bombai nigeria cegah masuk indonesia',None
